Dataset,Algorithm,K,Runtime_ms,Memory_MB
chess,U-Apriori,30,240.255,7.951820373535156
chess,U-FPGrowth,30,25830.9155,120.93789672851562
chess,U-HMine,30,22547.3244,135.83975982666016
chess,Hybrid,30,24908.9902,160.94658660888672
example,U-Apriori,30,7.9533,0.7160568237304688
example,U-FPGrowth,30,2.2454,0.1793365478515625
example,U-HMine,30,0.7121,0.1019744873046875
example,Hybrid,30,0.5075,0.16777801513671875
foodmart,U-Apriori,30,175.0309,1.0
foodmart,U-FPGrowth,30,166.0089,33.15399169921875
foodmart,U-HMine,30,135.0626,1.4160995483398438
foodmart,Hybrid,30,177.5362,10.154342651367188
retail,U-Apriori,30,86568.733,4.0
retail,U-FPGrowth,30,396981.2807,117.56217193603516
retail,U-HMine,30,321458.6749,78.03219604492188
retail,Hybrid,30,358843.3405,105.72808837890625
t20i6d100k,U-Apriori,30,16176.2074,1.0
t20i6d100k,U-FPGrowth,30,757200.5149,160.1768035888672
t20i6d100k,U-HMine,30,622504.2958,30.253761291503906
t20i6d100k,Hybrid,30,761920.304,245.9628448486328
