Dataset,Algorithm,K,Runtime_ms,Memory_MB
chess,U-Apriori,50,498.9189,7.77374267578125
chess,U-FPGrowth,50,49429.7293,91.99314880371094
chess,U-HMine,50,44367.472,157.15310668945312
chess,Hybrid,50,48375.4581,99.13262939453125
example,U-Apriori,50,7.8808,2.800750732421875
example,U-FPGrowth,50,0.4686,0.19989776611328125
example,U-HMine,50,0.4762,0.1199493408203125
example,Hybrid,50,1.2367,0.1999053955078125
foodmart,U-Apriori,50,304.3077,2.1807022094726562
foodmart,U-FPGrowth,50,209.4589,7.6754302978515625
foodmart,U-HMine,50,175.4857,1.8402481079101562
foodmart,Hybrid,50,215.0392,6.677825927734375
retail,U-Apriori,50,85608.4711,5.0
retail,U-FPGrowth,50,736643.4827,123.80765533447266
retail,U-HMine,50,571110.4126,110.46356201171875
retail,Hybrid,50,672598.4067,140.5313720703125
t20i6d100k,U-Apriori,50,33282.233,2.0
t20i6d100k,U-FPGrowth,50,1359856.4978,94.53739929199219
t20i6d100k,U-HMine,50,1101736.1224,155.0
t20i6d100k,Hybrid,50,1366756.1018,223.17416381835938
